"id","instrument_id","open","close","low","high","volume","open_interest","datetime","net_diff","obi_max","obi_min","amom_sum","wall_ask","wall_bid"
"19","ru2609","16740","16750","16735","16750","609","159176","2026-04-20 09:19:00","0","0.0117","-0.3279","0","[]","[]"
"20","ru2609","16750","16775","16745","16780","2140","159217","2026-04-20 09:20:00","118","0.0627","-0.3418","196","[[16800.0, 525]]","[]"
"21","ru2609","16775","16765","16765","16780","1199","159271","2026-04-20 09:21:00","-162","0.031","-0.3745","-53","[[16800.0, 543]]","[]"
"22","ru2609","16765","16770","16765","16795","2223","159513","2026-04-20 09:22:00","288","0.0219","-0.3689","93","[[16800.0, 569]]","[]"
"23","ru2609","16770","16765","16760","16780","905","159471","2026-04-20 09:23:00","-380","0.078","-0.4116","0","[]","[]"
"24","ru2609","16760","16755","16750","16760","601","159382","2026-04-20 09:24:00","-79","0.0976","-0.1673","0","[]","[]"
"25","ru2609","16750","16745","16740","16755","543","159261","2026-04-20 09:25:00","87","0.2209","-0.0094","12","[]","[]"
"26","ru2609","16740","16740","16740","16750","693","159283","2026-04-20 09:26:00","-153","0.2719","0","45","[]","[]"
"27","ru2609","16745","16745","16740","16750","353","159272","2026-04-20 09:27:00","0","0.3285","0","-16","[]","[]"
"28","ru2609","16750","16745","16740","16750","521","159269","2026-04-20 09:28:00","71","0.3533","0","0","[]","[]"
"29","ru2609","16750","16750","16745","16755","709","159421","2026-04-20 09:29:00","0","0.3538","0","-6","[]","[]"
"30","ru2609","16750","16750","16740","16750","523","159374","2026-04-20 09:30:00","0","0.3328","0","23","[]","[]"
"31","ru2609","16750","16735","16735","16755","984","159341","2026-04-20 09:31:00","60","0.3236","-0.0468","-63","[]","[]"
"32","ru2609","16735","16735","16735","16740","419","159227","2026-04-20 09:32:00","54","0.1728","-0.0714","0","[]","[]"
"33","ru2609","16735","16745","16730","16745","1075","159351","2026-04-20 09:33:00","-18","0.186","-0.0283","-76","[]","[]"
"34","ru2609","16740","16760","16740","16760","724","159351","2026-04-20 09:34:00","83","0.1923","-0.3261","-1","[]","[]"
"35","ru2609","16760","16765","16760","16780","1491","159448","2026-04-20 09:35:00","41","0.0588","-0.3105","-125","[[16800.0, 602]]","[]"
"36","ru2609","16765","16765","16760","16770","666","159518","2026-04-20 09:36:00","0","0","-0.3837","0","[]","[]"
