entry_idx,exit_idx,entry_price,exit_price,direction,hold_ticks,pnl,reason,direction_str
33135,33137,17905.0,17915.0,-1,2,-106.0,SL,空
33403,33463,17920.0,17915.0,-1,60,44.0,TIMEOUT,空
34583,34601,17920.0,17930.0,-1,18,-106.0,SL,空
34681,34711,17920.0,17930.0,-1,30,-106.0,SL,空
34830,34832,17920.0,17930.0,-1,2,-106.0,SL,空
36917,36977,17915.0,17920.0,-1,60,-56.0,TIMEOUT,空
37328,37388,17920.0,17920.0,-1,60,-6.0,TIMEOUT,空
37643,37703,17935.0,17930.0,-1,60,44.0,TIMEOUT,空
37841,37842,17945.0,17955.0,-1,1,-106.0,SL,空
37842,37843,17945.0,17955.0,-1,1,-106.0,SL,空
37843,37844,17950.0,17960.0,-1,1,-106.0,SL,空
37854,37857,17935.0,17925.0,1,3,-106.0,SL,多
39380,39394,17935.0,17945.0,-1,14,-106.0,SL,空
39400,39403,17945.0,17955.0,-1,3,-106.0,SL,空
39462,39463,17960.0,17970.0,-1,1,-106.0,SL,空
39464,39483,17970.0,17960.0,-1,19,94.0,TP,空
39936,39967,17955.0,17965.0,-1,31,-106.0,SL,空
39968,40028,17960.0,17960.0,-1,60,-6.0,TIMEOUT,空
40175,40188,17955.0,17965.0,-1,13,-106.0,SL,空
40410,40470,17965.0,17965.0,-1,60,-6.0,TIMEOUT,空
40549,40609,17950.0,17955.0,-1,60,-56.0,TIMEOUT,空
40654,40714,17950.0,17945.0,1,60,-56.0,TIMEOUT,多
40877,40884,17950.0,17950.0,1,7,-6.0,END,多
